asset_id,layer,item_name,prompt,variations_needed,priority
body_athletic_male_stage1,body,Athletic Male Stage 1,"minimalist fitness avatar silhouette, single athletic male figure in solid light gray (#F2F4FF), standing neutral pose, relaxed posture, full body from head to feet, subtle muscle definition, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_male_stage2,body,Athletic Male Stage 2,"minimalist fitness avatar silhouette, single athletic male figure in solid light gray (#F2F4FF), standing confident pose, improved posture, full body from head to feet, visible muscle definition, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_male_stage3,body,Athletic Male Stage 3,"minimalist fitness avatar silhouette, single athletic male figure in solid light gray (#F2F4FF), standing power pose, athletic build, full body from head to feet, noticeable muscle definition, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_male_stage4,body,Athletic Male Stage 4,"minimalist fitness avatar silhouette, single athletic male figure in solid light gray (#F2F4FF), standing powerful pose, well-defined muscles, full body from head to feet, clearly fit appearance, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_male_stage5,body,Athletic Male Stage 5,"minimalist fitness avatar silhouette, single athletic male figure in solid light gray (#F2F4FF), hero standing pose, peak physique, full body from head to feet, elite muscle definition, gym champion character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_male_stage1,body,Average Male Stage 1,"minimalist fitness avatar silhouette, single average build male figure in solid light gray (#F2F4FF), standing neutral pose, relaxed posture, full body from head to feet, normal build, gym beginner character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_male_stage2,body,Average Male Stage 2,"minimalist fitness avatar silhouette, single male figure in solid light gray (#F2F4FF), standing confident pose, improved posture, full body from head to feet, slightly toned build, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_male_stage3,body,Average Male Stage 3,"minimalist fitness avatar silhouette, single male figure in solid light gray (#F2F4FF), standing power pose, athletic build developing, full body from head to feet, visible fitness progress, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_male_stage4,body,Average Male Stage 4,"minimalist fitness avatar silhouette, single male figure in solid light gray (#F2F4FF), standing powerful pose, fit appearance, full body from head to feet, muscular development visible, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_male_stage5,body,Average Male Stage 5,"minimalist fitness avatar silhouette, single male figure in solid light gray (#F2F4FF), hero standing pose, transformed physique, full body from head to feet, impressive muscle definition, gym champion character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_female_stage1,body,Athletic Female Stage 1,"minimalist fitness avatar silhouette, single athletic female figure in solid light gray (#F2F4FF), standing neutral pose, relaxed posture, full body from head to feet, subtle athletic build, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
