exercise_id,exercise_name,equipment_in_image,body_position_description,image_prompt
"wger_1470","1-Arm Half-Kneeling Lat Pulldown","yes","seated at cable machine; pulling bar down to chest","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 1-arm half-kneeling lat pulldown, seated at cable machine, pulling bar down to chest, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_9","2 Handed Kettlebell Swing","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 2 handed kettlebell swing, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"3_4_Sit-Up","3/4 Sit-Up","no","lying on back; sitting up fully","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 3/4 sit-up, lying on back, sitting up fully, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1115","3D lunge warmup","yes","one leg forward in lunge position; rear knee near floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 3d lunge warmup, one leg forward in lunge position, rear knee near floor, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_997","4-count burpees","yes","full body movement from standing to plank to jump","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 4-count burpees, full body movement from standing to plank to jump, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1754","45° lateral raises","yes","standing; arms raising dumbbells out to sides","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 45° lateral raises, standing, arms raising dumbbells out to sides, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"90_90_Hamstring","90/90 Hamstring","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing 90/90 hamstring, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Ab_Crunch_Machine","Ab Crunch Machine","yes","lying on back; curling shoulders toward knees","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ab crunch machine, lying on back, curling shoulders toward knees, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Ab_Roller","Ab Roller","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ab roller, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1573","Ab wheel","yes","kneeling; rolling wheel forward; body extending","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ab wheel, kneeling, rolling wheel forward, body extending, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1828","Abdominal Draw-In","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing abdominal draw-in, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
