exercise_id,exercise_name,priority,positive_prompt,negative_prompt,original_prompt,api_params_stability,api_params_replicate,api_params_falai
Barbell_Deadlift,Deadlift,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing barbell deadlift, bent over with flat back; gripping barbell at floor, with barbell, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing barbell deadlift, bent over with flat back, gripping barbell at floor, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
Barbell_Hip_Thrust,Barbell Hip Thrust,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing barbell hip thrust, back on bench; hips thrusting barbell upward, with barbell, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing barbell hip thrust, back on bench, hips thrusting barbell upward, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
wger_73,Bench Press,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bench press, lying on flat bench; arms pressing barbell/dumbbells upward, with barbell, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bench press, lying on flat bench, arms pressing barbell/dumbbells upward, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
wger_194,Dips,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing dips, suspended between parallel bars; arms pressing body upward, with gym equipment, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing dips, suspended between parallel bars, arms pressing body upward, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
Face_Pull,Face Pull,P2,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing face pull, standing at cable; pulling rope toward face, with cable machine, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing face pull, standing at cable, pulling rope toward face, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
Leg_Press,Leg Press,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing leg press, seated in machine; legs pressing platform away, with exercise machine, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing leg press, seated in machine, legs pressing platform away, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
wger_687,Overhead Press,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead press, standing upright; arms pressing weight overhead, with barbell, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead press, standing upright, arms pressing weight overhead, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
Parallel_Bar_Dip,Parallel Bar Dip,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing parallel bar dip, suspended between parallel bars; arms pressing body upward, with gym equipment, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing parallel bar dip, suspended between parallel bars, arms pressing body upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
wger_475,Pull-ups,P0,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pull-ups, hanging from bar; pulling chin above bar, bodyweight only, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pull-ups, hanging from bar, pulling chin above bar, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
Seated_Calf_Raise,Seated Calf Raise,P1,"minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing seated calf raise, standing on edge; raising heels upward, with exercise machine, lime green (#A6FF00) accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition, side view preferred","text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic, watermark, signature, face features, facial details, eyes, nose, mouth, fingers details, photo, photograph, realistic","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing seated calf raise, standing on edge, raising heels upward, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic","{""aspect_ratio"":""1:1"",""output_format"":""png"",""style_preset"":""digital-art""}","{""width"":512,""height"":512,""num_outputs"":1}","{""image_size"":""square"",""num_inference_steps"":28,""guidance_scale"":3.5}"
